"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"34","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:38:40,FALSE,NA,"936711166600065025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_andy300",640,TRUE,FALSE,NA,NA
"35","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:38:34,FALSE,NA,"936711142117797888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","JennJoh89700897",640,TRUE,FALSE,NA,NA
"36","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:38:33,FALSE,NA,"936711138737258497",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","laurabjenkins",98,TRUE,FALSE,NA,NA
"37","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:38:23,FALSE,NA,"936711096643309570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ianmac234",640,TRUE,FALSE,NA,NA
"38","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:38:23,FALSE,NA,"936711096584622080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Smashstro",98,TRUE,FALSE,NA,NA
"39","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:38:23,FALSE,NA,"936711096311975939",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_andy300",98,TRUE,FALSE,NA,NA
"40","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:38:14,FALSE,NA,"936711061297868801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","p_dantoni3",640,TRUE,FALSE,NA,NA
"41","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:38:03,FALSE,NA,"936711014976016386",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","R_Yeezus",98,TRUE,FALSE,NA,NA
"42","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:38:00,FALSE,NA,"936711001092661248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crazychicken747",640,TRUE,FALSE,NA,NA
"43","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:37:57,FALSE,NA,"936710988585472000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jewkneeur",98,TRUE,FALSE,NA,NA
